ward_name_vi,ward_name_norm,district_name_vi,district_name_norm
Phường Bạch Mai,phuong bach mai,,
Phường Ba Đình,phuong ba đinh,,
Phường Bồ Đề,phuong bo đe,,
Phường Cầu Giấy,phuong cau giay,,
Phường Chương Mỹ,phuong chuong my,,
Phường Cửa Nam,phuong cua nam,,
Phường Đại Mỗ,phuong đai mo,,
Phường Định Công,phuong đinh cong,,
Phường Đống Đa,phuong đong đa,,
Phường Đông Ngạc,phuong đong ngac,,
Phường Dương Nội,phuong duong noi,,
Phường Giảng Võ,phuong giang vo,,
Phường Hà Đông,phuong ha đong,,
Phường Hai Bà Trưng,phuong hai ba trung,,
Phường Hoàng Liệt,phuong hoang liet,,
Phường Hoàng Mai,phuong hoang mai,,
Phường Hoàn Kiếm,phuong hoan kiem,,
Phường Hồng Hà,phuong hong ha,,
Phường Khương Đình,phuong khuong đinh,,
Phường Kiến Hưng,phuong kien hung,,
Phường Kim Liên,phuong kim lien,,
Phường Láng,phuong lang,,
Phường Lĩnh Nam,phuong linh nam,,
Phường Long Biên,phuong long bien,,
Phường Nghĩa Đô,phuong nghia đo,,
Phường Ngọc Hà,phuong ngoc ha,,
Phường Ô Chợ Dừa,phuong o cho dua,,
Phường Phúc Lợi,phuong phuc loi,,
Phường Phú Diễn,phuong phu dien,,
Phường Phú Lương,phuong phu luong,,
Phường Phương Liệt,phuong phuong liet,,
Phường Phú Thượng,phuong phu thuong,,
Phường Sơn Tây,phuong son tay,,
Phường Tây Hồ,phuong tay ho,,
Phường Tây Mỗ,phuong tay mo,,
Phường Tây Tựu,phuong tay tuu,,
Phường Thanh Liệt,phuong thanh liet,,
Phường Thanh Xuân,phuong thanh xuan,,
Phường Thượng Cát,phuong thuong cat,,
Phường Từ Liêm,phuong tu liem,,
Phường Tùng Thiện,phuong tung thien,,
Phường Tương Mai,phuong tuong mai,,
Phường Văn Miếu - Quốc Tử Giám,phuong van mieu - quoc tu giam,,
Phường Việt Hưng,phuong viet hung,,
Phường Vĩnh Hưng,phuong vinh hung,,
Phường Vĩnh Tuy,phuong vinh tuy,,
Phường Xuân Đỉnh,phuong xuan đinh,,
Phường Xuân Phương,phuong xuan phuong,,
Phường Yên Hòa,phuong yen hoa,,
Phường Yên Nghĩa,phuong yen nghia,,
Phường Yên Sở,phuong yen so,,
Xã An Khánh,xa an khanh,,
Xã Bất Bạt,xa bat bat,,
Xã Bát Tràng,xa bat trang,,
Xã Ba Vì,xa ba vi,,
Xã Bình Minh,xa binh minh,,
Xã Chương Dương,xa chuong duong,,
Xã Chuyên Mỹ,xa chuyen my,,
Xã Cổ Đô,xa co đo,,
Xã Đại Thanh,xa đai thanh,,
Xã Đại Xuyên,xa đai xuyen,,
Xã Dân Hòa,xa dan hoa,,
Xã Đan Phượng,xa đan phuong,,
Xã Đa Phúc,xa đa phuc,,
Xã Đoài Phương,xa đoai phuong,,
Xã Đông Anh,xa đong anh,,
Xã Dương Hòa,xa duong hoa,,
Xã Gia Lâm,xa gia lam,,
Xã Hạ Bằng,xa ha bang,,
Xã Hát Môn,xa hat mon,,
Xã Hoài Đức,xa hoai đuc,,
Xã Hòa Lạc,xa hoa lac,,
Xã Hòa Phú,xa hoa phu,,
Xã Hòa Xá,xa hoa xa,,
Xã Hồng Sơn,xa hong son,,
Xã Hồng Vân,xa hong van,,
Xã Hưng Đạo,xa hung đao,,
Xã Hương Sơn,xa huong son,,
Xã Kiều Phú,xa kieu phu,,
Xã Kim Anh,xa kim anh,,
Xã Liên Minh,xa lien minh,,
Xã Mê Linh,xa me linh,,
Xã Minh Châu,xa minh chau,,
Xã Mỹ Đức,xa my đuc,,
Xã Nam Phù,xa nam phu,,
Xã Ngọc Hồi,xa ngoc hoi,,
Xã Nội Bài,xa noi bai,,
Xã Ô Diên,xa o dien,,
Xã Phú Cát,xa phu cat,,
Xã Phúc Lộc,xa phuc loc,,
Xã Phúc Sơn,xa phuc son,,
Xã Phúc Thịnh,xa phuc thinh,,
Xã Phúc Thọ,xa phuc tho,,
Xã Phù Đổng,xa phu đong,,
Xã Phú Nghĩa,xa phu nghia,,
Xã Phượng Dực,xa phuong duc,,
Xã Phú Xuyên,xa phu xuyen,,
Xã Quảng Bị,xa quang bi,,
Xã Quang Minh,xa quang minh,,
Xã Quảng Oai,xa quang oai,,
Xã Quốc Oai,xa quoc oai,,
Xã Sóc Sơn,xa soc son,,
Xã Sơn Đồng,xa son đong,,
Xã Suối Hai,xa suoi hai,,
Xã Tam Hưng,xa tam hung,,
Xã Tây Phương,xa tay phuong,,
Xã Thạch Thất,xa thach that,,
Xã Thanh Oai,xa thanh oai,,
Xã Thanh Trì,xa thanh tri,,
Xã Thiên Lộc,xa thien loc,,
Xã Thuận An,xa thuan an,,
Xã Thư Lâm,xa thu lam,,
Xã Thượng Phúc,xa thuong phuc,,
Xã Thường Tín,xa thuong tin,,
Xã Tiến Thắng,xa tien thang,,
Xã Trần Phú,xa tran phu,,
Xã Trung Giã,xa trung gia,,
Xã Ứng Hòa,xa ung hoa,,
Xã Ứng Thiên,xa ung thien,,
Xã Vân Đình,xa van đinh,,
Xã Vật Lại,xa vat lai,,
Xã Vĩnh Thanh,xa vinh thanh,,
Xã Xuân Mai,xa xuan mai,,
Xã Yên Bài,xa yen bai,,
Xã Yên Lãng,xa yen lang,,
Xã Yên Xuân,xa yen xuan,,
